lat,lon
-11.888611111122474,-76.60527777778067
-11.889861111053923,-76.65416666665516
-11.889861111053934,-76.65333333332183
-11.890277777789128,-76.606111111114
-11.891111111122465,-76.65666666666964
-11.891111111122445,-76.65388888889186
-11.891111111122454,-76.60388888889176
-11.891388888900229,-76.61111111111401
-11.891388888900224,-76.606111111114
-11.891450617537707,-76.60317901231157
-11.89166666667802,-76.65694444444742
-11.891666666678017,-76.60638888889177
-11.891944444455778,-76.61166666666955
-11.891944444455794,-76.60250000000288
-11.892222222233553,-76.71916666666975
-11.892222222336148,-76.65763888891534
-11.892638888831677,-76.71888888887692
-11.892500000011363,-76.65666666666965
-11.892777777789119,-76.72194444444754
-11.892777777891693,-76.7176388889163
-11.891715277322119,-76.65536805362079
-11.892777777891691,-76.60791666669232
-11.89319444438725,-76.60861111109992
-11.893333333447254,-76.68291666669353
-11.893333333344685,-76.65027777778074
-11.893518518549206,-76.72231481477503
-11.893611111122436,-76.72166666666976
-11.893888888900245,-76.66166666666966
-11.894166666678014,-76.65194444444741
-11.894444444455797,-76.6533333333363
-11.893929738151245,-76.65782679593192
-11.895138888557433,-76.65361111104166
-11.895000000011361,-76.68194444444747
-11.895520833015137,-76.68027777822508
-11.89516414122796,-76.6519696977488
-11.895499999922396,-76.68133333360039
-11.89555555556691,-76.67638888889189
-11.89563131350802,-76.6599494946833
-11.896388888900237,-76.68055555555857
-11.896388888900248,-76.67972222222525
-11.896388889002866,-76.66319444447099
-11.896527777720559,-76.66111111109954
-11.896666666678007,-76.66388888889189
-11.896805555498332,-76.67944444443275
-11.897083333276107,-76.67999999998831
-11.896944444455789,-76.66416666666967
-11.897222222233598,-76.67916666666967
-11.897546296295598,-76.66231481489969
-11.897717391590998,-76.67786231848319
-11.89768518521545,-76.66120370366338
-11.897722222234732,-76.66502777712182
-11.89833333334467,-76.66472222222521
-11.898888888900247,-76.66222222222521
-11.899166666678017,-76.665000000003
-11.899652778016973,-76.66374999989289
-11.890898941480991,-76.65263649181928
-11.902037037044348,-76.6645370371058
-11.90250000001137,-76.66416666666966
-11.903333333344696,-76.66500000000299
-11.90357142820943,-76.66932539657783
-11.901484565084651,-76.66622839228981
-11.903888888900251,-76.6672222222252
-11.905555555440325,-76.67347222236924
-11.905805555128445,-76.66727314688895
-11.906944444455801,-76.66500000000299
-11.90763888867898,-76.66462962960497
-11.908425925758838,-76.60933333365952
-11.908080808292876,-76.60570707080286
-11.908376067821628,-76.60442307710113
-11.908055555566897,-76.60805555555845
-11.908796296304002,-76.60824074080905
-11.909027777720489,-76.66305555554398
-11.909166666888312,-76.60277777794981
-11.909444444558519,-76.67013888891553
-11.910000000011356,-76.66555555555856
-11.91000000011409,-76.60125000002554
-11.910555555566905,-76.60833333333623
-11.911047979689394,-76.60689393911699
-11.910641027764557,-76.60346153922484
-11.910833333344703,-76.61111111111401
-11.91125000004542,-76.6634722222342
-11.911249999942724,-76.60805555554437
-11.911388888900255,-76.6661111111141
-11.911388889002971,-76.60430555558115
-11.911315789481131,-76.60068713400642
-11.911851851882158,-76.66564814810779
-11.912129629659944,-76.66509259255223
-11.9082122209819,-76.66653285492475
-11.912777777708792,-76.61152777776584
-11.91277777789186,-76.61708333335913
-11.912777777789152,-76.60972222222512
-11.912212302711175,-76.60292658662388
-11.913055555566903,-76.61777777778069
